"name","date","value"
"DOM",2016-12-10,1
"EGY",2016-12-10,3
"ESP",2016-12-10,45
"EST",2016-12-10,4
"ETH",2016-12-10,8
"FIJ",2016-12-10,13
"FIN",2016-12-10,1
"FRA",2016-12-10,96
"GBR",2016-12-10,145
"GEO",2016-12-10,7
"GER",2016-12-10,159
"GRE",2016-12-10,7
"GRN",2016-12-10,1
"HUN",2016-12-10,22
"INA",2016-12-10,4
"IND",2016-12-10,2
"IOA",2016-12-10,2
"IRI",2016-12-10,8
"IRL",2016-12-10,3
"ISR",2016-12-10,2
"ITA",2016-12-10,72
"JAM",2016-12-10,30
"JOR",2016-12-10,1
"JPN",2016-12-10,64
"KAZ",2016-12-10,18
"KEN",2016-12-10,13
"KOR",2016-12-10,26
"KOS",2016-12-10,1
"LTU",2016-12-10,7
"MAR",2016-12-10,1
"MAS",2016-12-10,8
"MEX",2016-12-10,5
"MGL",2016-12-10,2
"NED",2016-12-10,47
"NGR",2016-12-10,18
"NIG",2016-12-10,1
"NOR",2016-12-10,19
"NZL",2016-12-10,36
"PHI",2016-12-10,1
"POL",2016-12-10,16
"POR",2016-12-10,1
"PRK",2016-12-10,7
"PUR",2016-12-10,1
"QAT",2016-12-10,1
"ROU",2016-12-10,16
"RSA",2016-12-10,23
"RUS",2016-12-10,115
"SGP",2016-12-10,1
"SLO",2016-12-10,4
"SRB",2016-12-10,54
"SUI",2016-12-10,11
"SVK",2016-12-10,8
"SWE",2016-12-10,28
"THA",2016-12-10,6
"TJK",2016-12-10,1
"TPE",2016-12-10,5
"TTO",2016-12-10,1
"TUN",2016-12-10,3
"TUR",2016-12-10,8
"UAE",2016-12-10,1
"UKR",2016-12-10,15
"USA",2016-12-10,264
"UZB",2016-12-10,13
"VEN",2016-12-10,3
"VIE",2016-12-10,2
